Feature,Importance
expenditure_unit_monthly_income,0.5284831763837814
per_capita_income,0.26170871806188684
household_size,0.09016494601622226
current_age,0.015809555586600008
income_satisfaction_level,0.013090028270690638
job_satisfaction_level,0.011947867121073279
life_satisfaction_level,0.007944419057043428
life_worthwhileness,0.007303268567858332
mother_education_level_Ninguno,0.0030805956343522485
father_education_level_SecComp,0.003026246436848688
mother_education_level_SecComp,0.0028794441270261093
father_education_level_Ninguno,0.002533508520662111
father_education_level_UnivComp,0.0018550334818740538
gender_Masc,0.0018302990394151305
vision_ability_SinDif,0.0017784185215373354
gender_Fem,0.0017488446714655644
father_lives_household_No,0.0017189136671009553
private_health_insurance_No,0.001716112675006424
father_education_level_PrimComp,0.0017113149347387088
father_lives_household_Fallecido,0.001622236169304954
general_health_status_Bueno,0.0015855992762520016
private_health_insurance_Si,0.0015838004706299285
mother_lives_household_No,0.0015645976941998294
mother_education_level_PrimComp,0.0015562655285186384
mother_education_level_UnivComp,0.0015558544899303012
vision_ability_AlgoDif,0.0015370074652556335
father_education_level_PrimIncomp,0.0014736273688550497
mother_lives_household_Fallecida,0.0014424199092353826
mother_lives_household_Si,0.0013654228691090237
mother_education_level_PrimIncomp,0.0013507559187978622
general_health_status_MuyBuen,0.0013290779208717158
has_chronic_disease_Si,0.0013093820011040515
has_chronic_disease_No,0.001304659876114981
father_education_level_NSNC,0.0012662360676383442
general_health_status_Regular,0.001250857194219321
mother_education_level_NSNC,0.001229322915395809
health_insurance_affiliation_Si,0.0012047153644005636
health_insurance_affiliation_No,0.0010707599819134892
mobility_ability_SinDif,0.0008162700892166601
mobility_ability_AlgoDif,0.0007658784844591825
father_education_level_SecIncomp,0.0007360398315001859
mother_education_level_SecIncomp,0.0007029807988042698
vision_ability_MuchaDif,0.0006510363352613295
health_issue_last_30_days_No,0.0006333534684980664
health_issue_last_30_days_Si,0.0006171661968111819
mother_education_level_TecComp,0.0005242704164615526
eps_complementary_health_plan_No,0.0005146802007119463
eps_complementary_health_plan_Si,0.0005111895313339974
hearing_ability_SinDif,0.00048583737539283127
father_lives_household_Si,0.00047349465219884254
hearing_ability_AlgoDif,0.00046392658633282157
other_health_services_No,0.0004579054303429656
other_health_services_Si,0.0004293309935414255
father_education_level_TecComp,0.00039226649669717585
hand_grip_ability_SinDif,0.0003863011888968195
hand_grip_ability_AlgoDif,0.00033510902549534075
mobility_ability_MuchaDif,0.00031924824268424293
cognitive_ability_SinDif,0.00022379070131873746
cognitive_ability_AlgoDif,0.00021486909816315612
general_health_status_Malo,0.00020198800750217258
father_education_level_TecIncomp,0.0001890977911655411
hand_grip_ability_MuchaDif,0.0001762331009613063
speech_ability_SinDif,0.00016142894639296416
self_care_ability_SinDif,0.0001564752728170573
mother_education_level_UnivIncomp,0.00015603239895579837
speech_ability_AlgoDif,0.00015333312045759856
mother_education_level_TecIncomp,0.00014739834679609957
hospitalization_surgery_policy_Si,0.0001442674021005949
self_care_ability_AlgoDif,0.00014122458891093162
health_insurance_affiliation_NSNC,0.00013808833272232685
hospitalization_surgery_policy_No,0.0001361738059001643
hearing_ability_MuchaDif,0.00013347599211659437
father_education_level_UnivIncomp,0.00011694411065657979
student_health_insurance_No,4.2617740385540246e-05
student_health_insurance_Si,4.2433667106759196e-05
mobility_ability_NoPuede,4.0167035041857244e-05
vision_ability_NoPuede,3.165951061021098e-05
self_care_ability_MuchaDif,2.8843007344008385e-05
speech_ability_MuchaDif,2.5645081335478435e-05
cognitive_ability_MuchaDif,2.0476626106730913e-05
self_care_ability_NoPuede,1.1086577087899925e-05
hearing_ability_NoPuede,5.5251158861438305e-06
hand_grip_ability_NoPuede,4.7491316434806875e-06
speech_ability_NoPuede,3.825942495428216e-06
cognitive_ability_NoPuede,2.5549464475701357e-06
